ps_partkey|value
192736|8997260.55
46785|8996210.35
63031|8993687.36
64403|8992436.74
90973|8987967.90
127057|8987964.50
92316|8986813.92
137156|8984251.75
12280|8981810.50
198727|8981323.56
147377|8965201.28
90203|8964917.82
43808|8959254.40
167410|8955825.86
104354|8955307.25
174045|8953359.18
22277|8949542.15
193353|8948652.14
128184|8947490.12
142807|8946749.68
171031|8945944.80
113886|8945862.22
144365|8945713.44
59554|8944812.45
196845|8940090.78
124703|8936935.00
118433|8935359.96
163636|8930632.25
8358|8930611.48
55877|8928622.65
140738|8923956.56
9266|8923656.30
20450|8919825.94
153450|8914136.00
134915|8912878.08
148027|8912199.03
159401|8911526.62
66805|8910809.05
195377|8906933.45
7226|8899506.40
109885|8898713.01
84354|8896622.41
154529|8893223.22
109373|8891397.12
44058|8891249.64
191919|8889932.12
10020|8889068.89
73445|8888973.70
21439|8885968.20
77868|8882280.18
27774|8881358.16
187922|8879956.80
175333|8875319.96
137422|8875085.66
108654|8872195.32
27835|8871594.98
34600|8869647.15
188409|8869446.82
35936|8867071.06
109019|8866428.76
14556|8863534.84
93597|8859494.07
180219|8858692.70
171018|8856256.00
64436|8856051.04
173505|8846857.00
154524|8845356.43
44535|8842937.25
129474|8840711.16
32876|8840668.32
29203|8840642.00
85873|8838944.73
145914|8837297.28
100843|8836088.64
18427|8835124.95
15490|8833581.40
54235|8829472.68
91328|8823722.18
86074|8817040.44
47059|8816402.10
122729|8816334.84
136936|8808216.80
39494|8807351.19
154990|8802441.70
40527|8801318.88
8184|8799874.30
37010|8799582.39
96154|8798719.04
106636|8797892.40
196187|8793034.76
140425|8792735.51
128806|8791218.16
21331|8789713.36
87231|8789553.72
163479|8787458.40
196528|8784260.28
130236|8782492.20
138059|8782403.76
180636|8782212.60
158406|8778735.68
143018|8772632.65
199780|8763163.68
25418|8761668.56
73787|8761239.00
196707|8758429.20
176740|8756981.52
188104|8756202.00
26181|8755865.94
193050|8753287.62
113359|8751807.48
55019|8751068.45
142996|8750352.00
138745|8747333.32
101740|8746720.60
35867|8746515.47
68656|8741405.55
154588|8739409.00
174802|8738783.20
64366|8738055.20
188893|8733486.96
184728|8732682.63
196325|8724502.68
135526|8724103.08
142982|8722572.08
85848|8720731.76
66366|8719348.19
8983|8716754.65
57753|8715109.50
101193|8708786.44
71331|8708062.44
98530|8707530.72
165219|8707520.59
59803|8707512.69
110029|8707162.35
172466|8706222.10
6098|8705010.16
6873|8702263.38
50786|8701152.00
171601|8696237.76
5817|8693384.63
166806|8690164.50
91743|8687324.36
76654|8687181.90
41826|8686755.00
30986|8686094.50
62621|8683841.62
170600|8677039.80
196875|8676832.32
29533|8676386.94
155767|8674033.11
139941|8672677.09
121450|8672478.84
197200|8671674.88
156932|8670989.40
196360|8668956.03
65841|8666185.14
91283|8663425.58
17756|8663247.60
141747|8659184.24
49865|8657597.61
21357|8656345.77
58342|8651587.98
118470|8649181.80
56473|8645889.96
112791|8645515.20
199183|8643074.20
102934|8641886.43
118466|8641316.60
145477|8638661.58
112842|8636543.52
164289|8635703.46
8102|8632227.00
130741|8631949.52
77835|8631786.24
61457|8631168.00
52542|8630071.32
173145|8629286.81
174393|8628117.19
29410|8627971.36
52177|8626732.40
136748|8626100.84
105132|8622379.35
79705|8622275.76
53304|8621708.79
42394|8617448.07
157436|8616032.66
7283|8614699.20
148459|8614148.20
59033|8611806.84
70337|8611306.80
192081|8611151.74
148155|8608026.68
28356|8607936.57
10092|8607555.00
85974|8605477.11
134132|8604982.80
122247|8604179.64
119524|8598767.40
62560|8597496.16
84117|8597198.12
196280|8594835.73
35481|8590039.40
96685|8589701.01
24881|8585021.97
166889|8581705.65
1802|8579211.06
190399|8578889.80
120933|8578761.84
19507|8578274.60
63655|8573107.35
184795|8572145.07
134859|8566434.96
133122|8566143.96
134388|8564952.28
112182|8559892.73
28740|8559881.48
182564|8559857.29
33298|8558901.96
147774|8557451.65
198356|8555461.68
127966|8550415.92
80642|8547282.00
4656|8546294.58
137971|8545985.56
135478|8544981.28
178314|8543419.92
97760|8540112.62
51194|8535353.45
195583|8534968.72
53737|8534601.40
11868|8532830.25
8598|8528984.97
115956|8528480.76
46839|8527197.90
85302|8525192.12
9168|8521434.00
107200|8520516.20
32779|8518879.44
151557|8517513.76
17|8515219.25
112177|8513325.82
15905|8511122.90
141816|8511075.68
184934|8509884.08
156150|8508631.56
120055|8507191.44
98723|8501997.06
196095|8499194.88
162099|8499085.84
50993|8495814.19
55936|8493461.40
198518|8489763.88
158606|8489131.98
28391|8488072.01
9877|8487911.70
141565|8487098.88
199109|8485604.75
168461|8485305.62
78436|8483955.90
187156|8480664.50
13404|8480513.30
185256|8479890.08
97059|8479671.20
167215|8479446.12
137964|8478265.05
113084|8477015.68
99175|8475585.72
125453|8475511.44
67866|8474733.52
7854|8473752.61
87377|8470347.72
98335|8468675.76
154726|8468408.00
43465|8467252.98
37568|8465800.46
140106|8464429.72
62659|8462322.39
70030|8462178.60
2592|8461303.30
150561|8456551.74
39593|8455166.28
16323|8455036.11
117444|8452876.63
139692|8450217.15
173632|8449762.66
97630|8449563.06
132026|8444831.50
32371|8443153.95
72396|8442618.62
74863|8442599.32
197340|8438790.80
12920|8437338.07
171982|8436049.60
51901|8435586.78
183699|8434874.74
89572|8432424.00
138464|8430399.89
81684|8429989.50
29094|8428376.00
86640|8427372.12
120106|8424310.00
39335|8423266.80
185054|8419145.96
85817|8418324.25
144110|8418172.20
179992|8417717.75
72970|8413565.63
147394|8410590.00
165179|8404954.43
150417|8402480.58
74979|8401473.61
170989|8400228.90
176003|8400033.12
66875|8396519.67
115517|8395352.46
86326|8395111.02
21656|8394977.40
119463|8391464.61
179527|8390401.56
82617|8389555.42
171170|8388425.60
18194|8386411.40
163469|8384570.70
1104|8382648.00
83888|8381298.26
81417|8380961.80
117216|8378102.16
8850|8373464.76
187779|8372140.64
37481|8371417.08
96197|8369992.82
154021|8369729.34
146153|8368662.90
86908|8366516.46
54162|8365587.88
82947|8361167.19
141879|8358920.10
134327|8357712.06
22275|8356807.94
131847|8356639.68
123353|8355720.00
93198|8355496.75
93737|8355190.24
16|8353432.36
27099|8350767.71
31354|8350558.21
54875|8342993.12
59961|8341606.77
194934|8340956.96
10633|8339926.47
88967|8339642.74
141173|8339167.98
169765|8338733.72
122784|8337359.94
120920|8336274.64
131814|8335705.84
86643|8334005.17
113686|8330583.82
80057|8322300.98
178111|8322017.22
148836|8320088.16
83634|8316343.35
58898|8315596.25
35533|8315300.85
106515|8314806.10
187911|8313643.70
29101|8313075.54
28315|8309368.56
112815|8309303.44
199350|8306392.50
13738|8305906.37
149270|8305586.67
179255|8305026.16
107525|8302756.80
141566|8302380.03
124853|8301848.16
67537|8301461.62
77507|8301218.75
30431|8300146.84
140433|8299336.54
154987|8298780.16
36401|8298139.64
112900|8296943.40
115830|8295322.92
31982|8295197.89
31427|8292017.25
51025|8290441.54
181557|8289021.60
189416|8288459.84
49476|8288247.54
103882|8280564.80
3135|8280521.26
22196|8275394.05
114761|8275226.85
182453|8272297.47
161104|8270829.63
28717|8267255.88
155407|8266913.91
91336|8266124.84
196733|8265759.30
196653|8263557.78
195634|8263447.80
170011|8261551.90
194354|8261036.76
186171|8261015.88
53894|8260555.37
26896|8259373.17
117355|8257817.90
49394|8257817.84
154386|8257270.77
121716|8253548.58
116661|8253035.88
155841|8252255.80
38794|8250931.02
68349|8250707.20
160141|8250623.28
128710|8250123.12
96244|8249770.62
118842|8246296.86
39054|8243575.76
92188|8243293.50
178997|8242980.46
118609|8242357.28
148935|8241626.70
164171|8240865.47
44877|8238754.80
174440|8238065.22
128213|8236764.80
135964|8236471.50
101840|8234625.00
167673|8233539.70
90438|8230774.50
110481|8228659.80
36805|8222881.94
71419|8221286.70
71017|8220356.29
32431|8218415.40
151847|8218264.91
7552|8217258.80
5735|8216004.80
76631|8214915.84
6980|8214264.00
42227|8209753.65
90354|8209114.56
24021|8208346.00
56625|8206130.40
100811|8204345.92
180297|8203665.70
127776|8200127.52
23467|8200008.68
141104|8198910.58
76864|8197229.32
195007|8192627.94
175802|8191277.85
153352|8189125.92
37911|8187263.06
162466|8186624.11
14305|8186516.52
199952|8186048.08
102466|8183832.28
120989|8183526.64
1871|8183061.20
132478|8181327.60
80311|8180646.50
149398|8179115.97
164678|8175556.74
87656|8174180.25
94120|8170423.18
24509|8167171.32
98852|8162107.59
10017|8160938.16
187184|8160316.41
58391|8158586.08
151450|8153944.80
77313|8152575.75
10903|8151679.45
54734|8151046.00
14351|8150782.22
116860|8149949.99
7679|8149598.47
8837|8148388.00
193726|8147738.28
