s_acctbal|s_name|n_name|p_partkey|p_mfgr|s_address|s_phone|s_comment
9159.04|Supplier#000002119|INDIA|127094|Manufacturer#2|E8p6oQMDNR7,NNGxqoGDZsoood9sYFt6NEH,|18-518-384-9729|osits boost quickly. deposits according to the furiously idle excuses are against the blithely qu
9151.26|Supplier#000008500|JAPAN|125987|Manufacturer#3|AjOpSW7qLo|22-800-223-4622|nos. regular requests x-r
9145.11|Supplier#000008318|INDONESIA|130778|Manufacturer#4|n1Qfh7vRHj59woCzdKwj47deVisSkDqaz|19-713-818-2608|le above the ironic, bold pinto 
9117.24|Supplier#000008290|VIETNAM|30780|Manufacturer#1|Sv0nK5,G331Y,jY7cL|31-144-288-4077|s the blithely even realms. slyly u
9117.24|Supplier#000008290|VIETNAM|53279|Manufacturer#5|Sv0nK5,G331Y,jY7cL|31-144-288-4077|s the blithely even realms. slyly u
9076.51|Supplier#000001869|VIETNAM|171868|Manufacturer#1|nogoCdaFQii,ri9rs3P8f5rPt1wVOMw9I7TmypxK|31-431-165-3867|regular dependencies sleep final, bold deposits. slow platelets according to the
9066.41|Supplier#000007078|JAPAN|199520|Manufacturer#3|KbUybJPPmTnc0aNkcGTwnoIm3C3mC0|22-831-188-8290|ajole quietly pending requests. boldly final foxes boost fluffily. careful
9033.39|Supplier#000003049|INDIA|165500|Manufacturer#4|l,TKJ7YWuyqUEiFkJxT87l7wPH9T tUSPl,|18-532-916-5559|lyly final theodolites? carefully ironic instructions haggle. quickly expre
9025.90|Supplier#000000995|CHINA|105974|Manufacturer#5|CgVUX8DtNbtug2M,N|28-180-818-2912|s nag. furiously even theodolites cajole.
9007.95|Supplier#000003176|INDONESIA|148147|Manufacturer#2|YUCh3B5y69ydExisZud1X|19-755-792-6352|n pinto beans. furiously final requests sleep according to the regular deposits? slyly ironic 
8853.82|Supplier#000008749|JAPAN|163716|Manufacturer#3|IIwYLAA1qEUAL|22-560-833-6117| pinto beans affix quickly carefully pending platelets. slyly regular request
8772.78|Supplier#000004010|JAPAN|161493|Manufacturer#4|hzXpAwbeH0D|22-191-309-4339|deposits. final deposits wake furious
8756.45|Supplier#000007179|INDONESIA|189624|Manufacturer#4|l8eTxI1F6OGNy6p7CAq5NzYa9|19-737-245-9748|arly silent packages nag across the silent requests. sauternes are furiously furiou
8752.64|Supplier#000003163|INDIA|158132|Manufacturer#4|1a12bXvGYZs3gFSYsRtTJ7I6CZd5OhHNjvY|18-380-830-5088|ily blithely pending pearls. furiously ironic asymptotes detec
8752.64|Supplier#000003163|INDIA|178128|Manufacturer#3|1a12bXvGYZs3gFSYsRtTJ7I6CZd5OhHNjvY|18-380-830-5088|ily blithely pending pearls. furiously ironic asymptotes detec
8740.51|Supplier#000009954|VIETNAM|34947|Manufacturer#4|VzElx9ihlXFJLIQw2Hn4bC2|31-657-448-4812|s sleep against the carefully regular packages. final instructions poach express, final sau
8738.07|Supplier#000007714|INDIA|75206|Manufacturer#3|KsKIPwzy7oojl3 jaifCvdbFuc0,AlkT84Fcv|18-793-375-2899|sts sleep across the fluffily regul
8736.77|Supplier#000002068|CHINA|14564|Manufacturer#5|K3Ao0QAOGRUFgUE5JH8X8rTngbLpyKDORoO|28-909-115-3663| carefully bold deposits. ironic deposits
8736.77|Supplier#000002068|CHINA|94540|Manufacturer#2|K3Ao0QAOGRUFgUE5JH8X8rTngbLpyKDORoO|28-909-115-3663| carefully bold deposits. ironic deposits
8692.13|Supplier#000001391|VIETNAM|88882|Manufacturer#5|hkWoAM561QlLjBNk,SdFdIgFx|31-636-911-2012|tes. ironic pinto beans are. furiously pending requests thrash ironic requests. regular p
8659.68|Supplier#000004290|VIETNAM|9289|Manufacturer#5|B9mCZlnMEegzxyWCQKoCZu Vjmh,2VUoxQB7I|31-372-730-8796| nag. silent asymptotes affix blithely bold, silent
8621.51|Supplier#000006451|JAPAN|108920|Manufacturer#5|cabW,blwKcgfkjfzb|22-178-750-1370|he quickly silent requests. blithely even deposits across the unusua
8611.17|Supplier#000001638|JAPAN|64119|Manufacturer#1|Kvwg58SG5NmUo1Ovy|22-635-832-5981|ly final ideas. slyly regular pi
8610.75|Supplier#000003998|JAPAN|163997|Manufacturer#1|s8yatBEk9U6HRd,4qQkfiEblD7|22-499-388-8247|cial theodolites. regular, special excuses ca
8576.88|Supplier#000002508|JAPAN|187471|Manufacturer#2|rolzg7UZ3KxV6U|22-961-254-1433|ly slyly quiet escapades. pending, unusual foxes across the 
8530.37|Supplier#000001736|INDONESIA|136709|Manufacturer#1|cbzU5P1b4c9k7Hr0YTPt|19-566-122-9621|side of the blithely silent packages 
8522.70|Supplier#000009698|CHINA|152152|Manufacturer#3|vAXg7cTjmOnY7Z|28-314-282-5827|elets. furiously final reques
8498.35|Supplier#000007678|INDONESIA|67677|Manufacturer#3|mcyyz2Gm12MnVDM6 PTJ 0NOb |19-923-359-9505| pinto beans-- fluffily quick forges wake above the furious
8498.35|Supplier#000007678|INDONESIA|75170|Manufacturer#4|mcyyz2Gm12MnVDM6 PTJ 0NOb |19-923-359-9505| pinto beans-- fluffily quick forges wake above the furious
8478.07|Supplier#000006383|INDIA|8882|Manufacturer#1|7kQeP8yOiz,C5rv e6y2Rhoh8i6NZbYNbmkk|18-161-652-2581|sual requests detect above the permanent
8461.22|Supplier#000003120|INDONESIA|105589|Manufacturer#4|DBhl1PhP1V9vK7OMmo7Ri60dcI|19-634-281-8564|ironic sheaves at the quickly regular packages integrate furiously furiously pending packages. qu
8415.20|Supplier#000003338|JAPAN|3337|Manufacturer#4|bQBVFaIiG46wcY4ebXtyYcAA EGEc|22-544-418-6592|y even accounts should have to haggle silent, regular deposits; final asymp
8410.80|Supplier#000006711|JAPAN|59195|Manufacturer#3|i jqPUnq8DM8S5UHIuiNHxK,iv|22-657-264-2458|bold theodolites. unusual dependencies sleep blithely even theodolites. bold acco
8313.47|Supplier#000005528|JAPAN|73020|Manufacturer#3|3q3AXP2IxBsMXWsQ nk3Pt6WphMWu|22-867-532-8065|sts cajole slyly. final requests are 
8297.49|Supplier#000003828|INDONESIA|71320|Manufacturer#4|fiYZWClYfiCjNPsjrT6FGI7cQKtDY14vkdweiDZ9|19-603-288-3421|y even platelets nag fluffily! quickly unusual depos
8255.70|Supplier#000008187|CHINA|173152|Manufacturer#5|hcgjLa 41gFrMl9t2kDPnRfB6Yo8cBW2e|28-281-514-1886|side of the slyly silent accounts shall have to wake carefully according to the final dolph
8248.74|Supplier#000006846|INDONESIA|46845|Manufacturer#1|BdKq0qLm I2m1kByN,HjzwGzdzsHRkxfU|19-150-912-4818|carefully unusual foxes use blithely above the sl
8238.27|Supplier#000006542|INDONESIA|139002|Manufacturer#4|q NausyQAzNHAeAz7ieqQFVSsfX3gw16|19-652-306-9099|y busily express ideas. regular foxes cajole slowly. foxes before the furiously qu
8209.16|Supplier#000000757|INDIA|160756|Manufacturer#3|PE9,2xp10mYiiKvHbHIVG1KIPLDtomT|18-152-957-5174|s accounts. unusual instr
8205.52|Supplier#000003725|JAPAN|186170|Manufacturer#3|Mjn3EvR4uNQ|22-909-405-1726|e quickly. regular requests wake slyly among the final p
8161.41|Supplier#000002101|CHINA|162100|Manufacturer#1|WPQIxQOridhW55 NLbnQm|28-766-434-2379|counts. special requests according to the ironic ideas sleep fluffily fu
8150.06|Supplier#000002600|INDIA|157569|Manufacturer#4|x6q9Kzx AfI7yqjYujRs4t RTvO9v2pgG73morL|18-611-478-3201|furiously ironic, fluffy requests. carefully special excu
8069.39|Supplier#000009672|CHINA|52156|Manufacturer#4|fupxQmsgDlv|28-641-826-1304|ial accounts. furiously regular packages haggle according to the final a
8063.32|Supplier#000008853|INDIA|163820|Manufacturer#2|w1eYDfbGI SkgAmzykyh1RV,bDiWQZI0mA3|18-477-737-7965|egular foxes wake about the slyly even requests. slyly pending ideas boost. multipliers haggle
8039.06|Supplier#000002904|CHINA|32903|Manufacturer#5|3AVLyzSjCrHYuiLian1626bEfJgpw5J M|28-729-639-9863|riously final deposits against the even, regular foxes sleep busily silent requests. final, bold 
8039.06|Supplier#000002904|CHINA|57893|Manufacturer#1|3AVLyzSjCrHYuiLian1626bEfJgpw5J M|28-729-639-9863|riously final deposits against the even, regular foxes sleep busily silent requests. final, bold 
8032.13|Supplier#000005455|INDIA|125454|Manufacturer#1|1pPmFeEkoes|18-723-651-6014|. regular, final packages boost ironic deposits. ironic excuse
8011.69|Supplier#000003837|VIETNAM|46324|Manufacturer#3|SYXpXaKop3|31-780-420-4359|ular foxes haggle accordi
7956.36|Supplier#000006302|JAPAN|158756|Manufacturer#2|siCR7A0n7no|22-954-431-6230|ss the slyly bold theodolites are furiously regular, unu
7796.18|Supplier#000009801|JAPAN|124776|Manufacturer#4|loKjUMxr,JZC|22-293-385-2049|ins affix. even ideas cajole furiously ironic theodolites. express theodolites promise quickly pendi
7776.28|Supplier#000002726|INDIA|110214|Manufacturer#1|NGStDcC9aXsThy|18-120-566-6473|ptotes. quickly quiet courts nag after the blit
7751.04|Supplier#000007753|JAPAN|22748|Manufacturer#5|x5  roiz0vYoIN9F8LIzAjLW31|22-394-329-1153|nts boost slyly ironic foxes. requests boo
7751.04|Supplier#000007753|JAPAN|95243|Manufacturer#1|x5  roiz0vYoIN9F8LIzAjLW31|22-394-329-1153|nts boost slyly ironic foxes. requests boo
7741.71|Supplier#000006583|INDIA|99055|Manufacturer#4|5XubeRuMEEM5o1pBOetTpIcr4J2wB2MXA|18-162-379-5398|nusual, final ideas. accounts sleep about the blithely ironic accounts. si
7733.32|Supplier#000009930|JAPAN|82405|Manufacturer#3|2 NaW1Xh eU1 ypRgGz3|22-376-168-3177|y pending deposits are blithely packag
7687.91|Supplier#000001631|JAPAN|149116|Manufacturer#5|3JwfERzppDc6h7BV0I|22-255-355-8658|ven asymptotes. carefully regular req
7687.91|Supplier#000001631|JAPAN|176596|Manufacturer#2|3JwfERzppDc6h7BV0I|22-255-355-8658|ven asymptotes. carefully regular req
7687.91|Supplier#000001631|JAPAN|189112|Manufacturer#5|3JwfERzppDc6h7BV0I|22-255-355-8658|ven asymptotes. carefully regular req
