nation|o_year|sum_profit
PERU|1993|49682400.5684
PERU|1992|46524818.1461
ROMANIA|1998|28384750.8220
ROMANIA|1997|42347930.5059
ROMANIA|1996|48293899.8559
ROMANIA|1995|48736999.0932
ROMANIA|1994|45841889.9648
ROMANIA|1993|44704680.4615
ROMANIA|1992|46955146.8349
RUSSIA|1998|29799258.6562
RUSSIA|1997|47387251.8098
RUSSIA|1996|43690543.2927
RUSSIA|1995|47996400.0451
RUSSIA|1994|49363517.8123
RUSSIA|1993|46622068.5866
RUSSIA|1992|47980955.3738
SAUDI ARABIA|1998|27262825.0196
SAUDI ARABIA|1997|46172963.5616
SAUDI ARABIA|1996|48980465.8828
SAUDI ARABIA|1995|48886049.9633
SAUDI ARABIA|1994|49415728.2778
SAUDI ARABIA|1993|46827296.7773
SAUDI ARABIA|1992|48383481.2893
UNITED KINGDOM|1998|26994101.5471
UNITED KINGDOM|1997|46468024.0865
UNITED KINGDOM|1996|45843437.5804
UNITED KINGDOM|1995|48756111.0554
UNITED KINGDOM|1994|47981811.5416
UNITED KINGDOM|1993|47712028.5537
UNITED KINGDOM|1992|46965863.4021
UNITED STATES|1998|27087511.9971
UNITED STATES|1997|47932046.1443
UNITED STATES|1996|47281076.9954
UNITED STATES|1995|48170715.2533
UNITED STATES|1994|48171361.0151
UNITED STATES|1993|49211733.3695
UNITED STATES|1992|45930064.1889
VIETNAM|1998|27940943.4298
VIETNAM|1997|47619898.2300
VIETNAM|1996|49276741.1515
VIETNAM|1995|45133943.1397
VIETNAM|1994|44912311.8521
VIETNAM|1993|49605403.2867
VIETNAM|1992|48921345.2469
